record_id,indicator_id,source_id,footnotes_id,members_id,value
r0049,5578,4237,,"233,29175",5.72
r0050,5578,4237,,"233,29176",5.83
r0051,5578,4237,,"233,29177",5.86
r0052,5578,4237,,"233,29178",5.81
r0053,5578,4237,,"233,29179",5.63
r0054,5578,4237,,"233,29180",5.7
r0055,5578,4237,,"233,29181",5.81
r0056,5578,4237,,"233,29182",5.79
r0057,5578,4237,,"233,29183",5.59
r0058,5578,4237,,"233,29184",5.49
r0059,5578,4237,,"233,29185",5.55
r0060,5578,4237,,"233,29186",5.56
r0061,5578,4237,,"233,29187",5.49
r0062,5578,4237,,"233,29188",5.22
r0063,5578,4237,,"233,29189",5.29
r0064,5578,4237,,"233,29190",4.78
r0065,5578,4237,,"233,29191",4.85
r0066,5578,4237,,"233,29192",4.83
r0067,5578,4237,,"216,29160",7.63
r0068,5578,4237,,"216,29161",7.65
r0069,5578,4237,,"216,29162",7.69
r0070,5578,4237,,"216,29163",7.61
r0071,5578,4237,,"216,29164",7.61
r0072,5578,4237,,"216,29165",7.59
r0073,5578,4237,,"216,29166",7.78
r0074,5578,4237,,"216,29167",7.82
r0075,5578,4237,,"216,29168",7.87
r0076,5578,4237,,"216,29169",7.94
r0077,5578,4237,,"216,29170",7.87
r0078,5578,4237,,"216,29171",7.61
r0079,5578,4237,,"216,29172",7.45
r0080,5578,4237,,"216,29173",7.94
r0081,5578,4237,,"216,29174",8.26
r0082,5578,4237,,"216,29175",8.27
r0083,5578,4237,,"216,29176",8.55
r0084,5578,4237,,"216,29177",8.78
r0085,5578,4237,,"216,29178",8.8
r0086,5578,4237,,"216,29179",8.2
r0087,5578,4237,,"216,29180",8.25
r0088,5578,4237,,"216,29181",8.41
r0089,5578,4237,,"216,29182",8.45
r0090,5578,4237,,"216,29183",8.57
r0091,5578,4237,,"216,29184",8.46
r0092,5578,4237,,"216,29185",8.5
r0093,5578,4237,,"216,29186",8.49
r0094,5578,4237,,"216,29187",8.51
r0095,5578,4237,,"216,29188",8.42
r0096,5578,4237,,"216,29189",8.29
r0097,5578,4237,,"216,29190",7.91
r0098,5578,4237,,"216,29191",8.29
r0099,5578,4237,,"216,29192",8.72
r0100,5578,4237,,"259,29160",16.34
r0101,5578,4237,,"259,29161",16.93
r0102,5578,4237,,"259,29162",16.65
r0103,5578,4237,,"259,29163",16.68
r0104,5578,4237,,"259,29164",16.66
r0105,5578,4237,,"259,29165",17.67
r0106,5578,4237,,"259,29166",18.77
r0107,5578,4237,,"259,29167",19.33
r0108,5578,4237,,"259,29168",18.82
r0109,5578,4237,,"259,29169",17.42
r0110,5578,4237,,"259,29170",17.84
r0111,5578,4237,,"259,29171",17.84
r0112,5578,4237,,"259,29172",16.66
r0113,5578,4237,,"259,29173",15.61
r0114,5578,4237,,"259,29174",16.49
r0115,5578,4237,,"259,29175",17.07
r0116,5578,4237,,"259,29176",16.72
r0117,5578,4237,,"259,29177",16.27
r0118,5578,4237,,"259,29178",16.67
r0119,5578,4237,,"259,29179",15.93
r0120,5578,4237,,"259,29180",15.78
r0121,5578,4237,,"259,29181",15.48
r0122,5578,4237,,"259,29182",16.29
r0123,5578,4237,,"259,29183",16.15
r0124,5578,4237,,"259,29184",15.75
r0125,5578,4237,,"259,29185",14.8
r0126,5578,4237,,"259,29186",13.65
r0127,5578,4237,,"259,29187",12.47
r0128,5578,4237,,"259,29188",11.07
r0129,5578,4237,,"259,29189",9.45
r0130,5578,4237,,"259,29190",6.81
r0131,5578,4237,,"259,29191",6.94
r0132,5578,4237,,"259,29192",7.86
r0133,5578,4237,,"225,29160",3.93
r0134,5578,4237,,"225,29161",3.89
r0135,5578,4237,,"225,29162",3.92
r0136,5578,4237,,"225,29163",3.98
r0137,5578,4237,,"225,29164",3.98
r0138,5578,4237,,"225,29165",4.04
r0139,5578,4237,,"225,29166",3.98
r0140,5578,4237,,"225,29167",4.08
r0141,5578,4237,,"225,29168",4.06
r0142,5578,4237,,"225,29169",3.69
r0143,5578,4237,,"225,29170",3.74
r0144,5578,4237,,"225,29171",3.75
r0145,5578,4237,,"225,29172",3.63
r0146,5578,4237,,"225,29173",3.64
r0147,5578,4237,,"225,29174",3.63
r0148,5578,4237,,"225,29175",3.63
r0149,5578,4237,,"225,29176",3.58
r0150,5578,4237,,"225,29177",3.68
r0151,5578,4237,,"225,29178",3.67
